,Attention,Mediation,Raw,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,Age_24,Age_25,Age_28,Age_31,Gender_0,Gender_1,Ethnicity_Bengali,Ethnicity_English,Ethnicity_Han Chinese
0,0.56,0.43,0.5678048780487805,0.07615811081657724,0.030094189900740302,0.024597116200169637,0.023527497112739437,0.026072035715987988,0.027332154342005262,0.01685229281842275,0.006139268354471636,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1,0.4,0.35000000000000003,0.4878048780487805,0.018525328117928494,0.009329953026312773,0.0010496365688125093,0.0021941219492587244,0.0025672969176549093,0.002235154224429363,0.0026847729364329626,0.0020281511528165226,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2,0.47000000000000003,0.48,0.5246341463414634,0.1913226546841663,0.1275698234840529,0.14744401086716916,0.060880511530414766,0.03392252501642528,0.07939282350645273,0.029035040119309706,0.018813361204979562,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3,0.47000000000000003,0.5700000000000001,0.49878048780487805,0.5075200426714941,0.04285173703638858,0.04467013820458132,0.016762777966231306,0.010744889938943755,0.03787762166984445,0.02538021592904362,0.02510966682913604,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4,0.44,0.53,0.4980487804878049,0.2549662184004655,0.11760298978432768,0.02707887164798781,0.08715507285308403,0.042333763552608095,0.06036249740908777,0.022740620680518114,0.021998551108964603,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5,0.44,0.66,0.5178048780487805,0.45195820133186787,0.05879867095594892,0.04335626767338347,0.025684364086988407,0.01410938535341688,0.020423055058248554,0.017156861500944927,0.023554108969050323,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6,0.43,0.6900000000000001,0.5317073170731708,0.16025853429882977,0.0405261425064527,0.06576505951103578,0.063821693768027,0.0338290668104677,0.03212003893338053,0.031928442603270366,0.04392450951779188,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7,0.4,0.61,0.4995121951219512,0.040548021594362195,0.004014308386459325,0.001429199166714112,0.00079117802191769,0.0011934612900783835,0.0019321235540891565,0.0016593917052749774,0.00186518794842659,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8,0.43,0.6900000000000001,0.5041463414634146,0.12439589125234371,0.04019391471646186,0.04649495838680057,0.06686091541355964,0.010090682497240646,0.05357461039346714,0.03746144033575652,0.01681335824201221,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9,0.47000000000000003,0.6900000000000001,0.48560975609756096,0.020596269476950927,0.038532775766507654,0.03452413799144233,0.025684364086988407,0.03887580993217738,0.01751396062298257,0.01654772413590058,0.030961527350410887,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
